CustomerID,Gender,WinLossRatio,NumberActiveGames,Tenure,NumberGameActive,Platform,PaymentMethod,MonthlySpend,TotalSpend,Churn
3170-NMYVV,Female,0.703364478,Yes,50,2,Instagram,Bank transfer (automatic),20.15,930.9,No
7410-OIEDU,Male,0.685248347,No,10,2,Facebook,Mailed check,79.85,887.35,No
2273-QCKXA,Male,0.824849594,No,1,2,Facebook,Mailed check,49.05,49.05,No
0731-EBJQB,Female,0.904131147,Yes,52,2,GoogleAds,Electronic check,20.4,1090.65,No
1891-QRQSA,Male,0.756372066,Yes,64,4,Instagram,Bank transfer (automatic),111.6,7099,No
8028-PNXHQ,Male,0.416105794,Yes,62,4,Instagram,Bank transfer (automatic),24.25,1424.6,No
5630-AHZIL,Female,0.470084018,Yes,3,2,Facebook,Bank transfer (automatic),64.5,177.4,No
2673-CXQEU,Female,0.717791992,No,56,4,GoogleAds,Electronic check,110.5,6139.5,No
6416-JNVRK,Female,0.955783303,No,46,2,GoogleAds,Credit card (automatic),55.65,2688.85,No
5590-ZSKRV,Female,0.316964626,Yes,8,2,Facebook,Mailed check,54.65,482.25,No
0191-ZHSKZ,Male,0.280166095,No,30,2,Facebook,Electronic check,74.75,2111.3,No
3887-PBQAO,Female,0.800479523,Yes,45,4,GoogleAds,Credit card (automatic),25.9,1216.6,No
5919-TMRGD,Female,0.027573609,Yes,1,2,Facebook,Electronic check,79.35,79.35,Yes
8108-UXRQN,Female,0.891482511,Yes,11,1,Facebook,Electronic check,50.55,565.35,No
9191-MYQKX,Female,0.313300601,No,7,2,Facebook,Bank transfer (automatic),75.15,496.9,Yes
9919-YLNNG,Female,0.709983071,No,42,2,Facebook,Bank transfer (automatic),103.8,4327.5,No
0318-ZOPWS,Female,0.761141299,No,49,2,Instagram,Bank transfer (automatic),20.15,973.35,No
4445-ZJNMU,Male,0.310418439,No,9,4,Facebook,Credit card (automatic),99.3,918.75,No
4808-YNLEU,Female,0.702671598,No,35,2,GoogleAds,Bank transfer (automatic),62.15,2215.45,No
1862-QRWPE,Female,0.178480238,Yes,48,2,Instagram,Bank transfer (automatic),20.65,1057,No
2796-NNUFI,Female,0.759857891,Yes,46,2,Instagram,Mailed check,19.95,927.1,No
3016-KSVCP,Male,0.869458501,No,29,1,Facebook,Mailed check,33.75,1009.25,No
4767-HZZHQ,Male,0.812312628,Yes,30,2,Facebook,Bank transfer (automatic),82.05,2570.2,No
2424-WVHPL,Male,0.558082779,No,1,2,Facebook,Electronic check,74.7,74.7,No
7233-PAHHL,Male,0.983381267,Yes,66,4,Instagram,Mailed check,84,5714.25,No
6067-NGCEU,Female,0.998950428,No,65,4,Facebook,Credit card (automatic),111.05,7107,No
9848-JQJTX,Male,0.532834869,No,72,4,Instagram,Bank transfer (automatic),100.9,7459.05,No
8637-XJIVR,Female,0.93198126,No,12,4,Facebook,Electronic check,78.95,927.35,Yes
9803-FTJCG,Male,0.889306446,Yes,71,4,GoogleAds,Credit card (automatic),66.85,4748.7,No
0278-YXOOG,Male,0.724076301,No,5,2,Facebook,Mailed check,21.05,113.85,Yes
3212-KXOCR,Male,0.222630227,No,52,2,Instagram,Bank transfer (automatic),21,1107.2,No
4598-XLKNJ,Female,0.401546878,No,25,2,Facebook,Electronic check,98.5,2514.5,Yes
6380-ARCEH,Male,0.970272813,No,1,2,Facebook,Mailed check,20.2,20.2,No
3679-XASPY,Female,0.8587517,Yes,1,2,Facebook,Electronic check,19.45,19.45,No
7123-WQUHX,Male,0.159128902,No,38,4,GoogleAds,Bank transfer (automatic),95,3605.6,No
5386-THSLQ,Female,0.641498829,No,66,1,GoogleAds,Bank transfer (automatic),45.55,3027.25,No
3192-NQECA,Male,0.080522984,No,68,4,Instagram,Bank transfer (automatic),110,7611.85,Yes
6180-YBIQI,Male,0.266233311,No,5,1,Facebook,Mailed check,24.3,100.2,No
6728-DKUCO,Female,0.789695269,Yes,72,4,GoogleAds,Electronic check,104.15,7303.05,No
9750-BOOHV,Female,0.819813111,No,32,1,GoogleAds,Mailed check,30.15,927.65,No
8597-CWYHH,Male,0.665968324,No,43,4,GoogleAds,Mailed check,94.35,3921.3,No
2848-YXSMW,Male,0.226052147,Yes,72,2,Instagram,Credit card (automatic),19.4,1363.25,No
0486-HECZI,Male,0.020170289,No,55,4,Facebook,Electronic check,96.75,5238.9,Yes
4549-ZDQYY,Female,0.462304343,No,52,2,GoogleAds,Credit card (automatic),57.95,3042.25,No
5712-AHQNN,Female,0.213922706,No,43,2,Facebook,Electronic check,91.65,3954.1,No
4846-WHAFZ,Female,0.72326566,No,37,4,Facebook,Electronic check,76.5,2868.15,Yes
5256-SKJGO,Female,0.388218992,Yes,64,1,Instagram,Electronic check,54.6,3423.5,No
3071-VBYPO,Male,0.342315216,Yes,3,2,Facebook,Electronic check,89.85,248.4,No
9560-BBZXK,Female,0.337859318,No,36,1,Instagram,Bank transfer (automatic),31.05,1126.35,No
5299-RULOA,Female,0.343343957,Yes,10,4,Facebook,Electronic check,100.25,1064.65,Yes
8402-OOOHJ,Female,0.007502489,No,41,2,Instagram,Mailed check,20.65,835.15,No
9445-ZUEQE,Male,0.310275859,Yes,27,4,Facebook,Credit card (automatic),85.2,2151.6,No
1091-SOZGA,Female,0.030532028,Yes,56,4,GoogleAds,Credit card (automatic),99.8,5515.45,No
2928-HLDBA,Female,0.470442647,No,6,2,Facebook,Mailed check,20.7,112.75,No
0404-SWRVG,Male,0.411912342,No,3,4,Facebook,Electronic check,74.4,229.55,Yes
6497-TILVL,Female,0.842996698,Yes,7,2,Facebook,Mailed check,50.7,350.35,No
7219-TLZHO,Female,0.253795657,Yes,4,2,Facebook,Mailed check,20.85,62.9,No
4622-YNKIJ,Male,0.83119723,No,33,2,Instagram,Electronic check,88.95,3027.65,No
4412-YLTKF,Female,0.292173896,No,27,4,Facebook,Electronic check,78.05,2135.5,Yes
6734-PSBAW,Male,0.379134904,No,72,4,Instagram,Bank transfer (automatic),23.55,1723.95,No
3930-ZGWVE,Male,0.812014401,No,1,2,Facebook,Mailed check,19.75,19.75,No
2639-UGMAZ,Male,0.606364173,No,71,1,GoogleAds,Electronic check,56.45,3985.35,No
2876-GZYZC,Female,0.894275645,No,13,4,Facebook,Electronic check,85.95,1215.65,No
6207-WIOLX,Female,0.649989661,Yes,25,1,Facebook,Credit card (automatic),58.6,1502.65,Yes
8587-XYZSF,Male,0.993387909,No,67,2,Instagram,Bank transfer (automatic),50.55,3260.1,No
3091-FYHKI,Male,0.658416079,No,1,1,Facebook,Electronic check,35.45,35.45,Yes
2372-HWUHI,Male,0.40318955,No,2,2,Facebook,Electronic check,44.35,81.25,Yes
7799-LGRDP,Female,0.663230914,No,43,4,Instagram,Credit card (automatic),25.7,1188.2,No
7850-VWJUU,Female,0.336552439,No,23,2,Facebook,Bank transfer (automatic),75,1778.5,No
3774-VBNXY,Female,0.983018445,Yes,64,2,Instagram,Mailed check,20.2,1277.75,No
6217-KDYWC,Male,0.651711876,Yes,57,2,Instagram,Mailed check,19.6,1170.55,No
0390-DCFDQ,Female,0.871905058,No,1,2,Facebook,Mailed check,70.45,70.45,Yes
3146-MSEGF,Female,0.726450844,Yes,72,4,Instagram,Credit card (automatic),88.05,6425.65,No
4080-OGPJL,Female,0.287544618,No,8,4,Facebook,Electronic check,71.15,563.65,Yes
1095-WGNGG,Female,0.186229578,No,61,4,Instagram,Bank transfer (automatic),101.05,5971.25,No
2636-SJDOU,Male,0.026053347,No,64,4,GoogleAds,Credit card (automatic),84.3,5289.05,No
1131-QQZEB,Male,0.501475898,No,71,4,Instagram,Bank transfer (automatic),23.95,1756.2,No
5716-EZXZN,Female,0.578311302,Yes,65,4,Instagram,Credit card (automatic),99.05,6416.7,No
6837-BJYDQ,Male,0.430252775,No,3,2,GoogleAds,Mailed check,19.6,61.35,No
2135-RXIHG,Male,0.377278581,No,1,2,Facebook,Electronic check,45.65,45.65,Yes
6440-DKQGE,Male,0.099649545,Yes,30,2,GoogleAds,Credit card (automatic),64.5,1929.95,No
3466-BYAVD,Male,0.773125698,Yes,15,2,Facebook,Mailed check,69.5,1071.4,No
3780-YVMFA,Female,0.339152179,Yes,8,2,Facebook,Electronic check,68.55,564.35,No
3874-EQOEP,Male,0.359847308,No,7,4,Facebook,Mailed check,95,655.5,Yes
1679-JRFBR,Female,0.994986113,Yes,70,4,GoogleAds,Credit card (automatic),108.15,7930.55,No
9073-ZZIAY,Male,0.409335273,Yes,62,2,Instagram,Electronic check,86.1,5215.25,No
3077-RSNTJ,Female,0.6759836,Yes,6,2,Facebook,Mailed check,19.7,113.5,No
6551-GNYDG,Female,0.858043651,Yes,14,2,Facebook,Bank transfer (automatic),80.9,1152.8,No
9167-APMXZ,Female,0.994703467,No,22,4,Facebook,Bank transfer (automatic),84.15,1821.95,No
2749-CTKAJ,Male,0.633613708,Yes,22,2,GoogleAds,Mailed check,20.15,419.9,No
6371-NZYEG,Male,0.78450048,Yes,16,2,Instagram,Mailed check,64.25,1024,No
7554-NEWDD,Male,0.005672664,No,10,4,Instagram,Bank transfer (automatic),25.7,251.6,No
8992-VONJD,Female,0.697209175,Yes,13,2,Facebook,Electronic check,56,764.55,No
0867-MKZVY,Female,0.55504947,No,20,4,Facebook,Electronic check,82.4,1592.35,Yes
4482-EWFMI,Female,0.127681625,No,2,2,Facebook,Electronic check,69.7,135.2,No
4648-YPBTM,Male,0.687712144,No,53,4,Instagram,Bank transfer (automatic),73.9,3958.25,No
2907-ILJBN,Female,0.087285495,Yes,11,2,GoogleAds,Mailed check,20.6,233.9,No
6345-FZOQH,Male,0.986718621,No,69,2,Instagram,Mailed check,19.9,1363.45,No
3376-BMGFE,Female,0.616509292,No,4,2,Facebook,Bank transfer (automatic),70.9,273,Yes
5997-OPVFA,Male,0.798294664,No,72,4,Instagram,Bank transfer (automatic),89.05,6254.45,No
3445-HXXGF,Male,0.638745656,No,58,1,Facebook,Electronic check,45.3,2651.2,Yes
1159-WFSGR,Female,0.563197484,Yes,16,2,Facebook,Electronic check,20.4,321.4,No
7654-YWJUF,Male,0.509312333,No,43,2,GoogleAds,Bank transfer (automatic),84.25,3539.25,No
1875-QIVME,Female,0.661165128,No,2,4,Facebook,Electronic check,104.4,242.8,Yes
6727-IOTLZ,Male,0.182221908,No,14,2,Instagram,Mailed check,81.95,1181.75,No
0691-JVSYA,Female,0.32006647,No,53,2,GoogleAds,Bank transfer (automatic),94.85,5000.2,Yes
5918-VUKWP,Female,0.030843287,No,32,2,GoogleAds,Bank transfer (automatic),20.55,654.55,No
1744-JHKYS,Female,0.143915492,No,34,4,Facebook,Electronic check,24.7,780.2,No
2656-FMOKZ,Female,0.185128667,No,15,4,Facebook,Mailed check,74.45,1145.7,Yes
2070-FNEXE,Female,0.12364321,No,7,2,Facebook,Bank transfer (automatic),76.45,503.6,Yes
5947-SGKCL,Female,0.24975822,Yes,15,4,Facebook,Bank transfer (automatic),105.35,1559.25,No
3712-PKXZA,Male,0.200019149,No,61,2,GoogleAds,Credit card (automatic),20.55,1252,No
6317-YPKDH,Female,0.154952529,No,1,1,Facebook,Bank transfer (automatic),29.95,29.95,Yes
6582-OIVSP,Female,0.334160827,No,1,2,Facebook,Mailed check,45.3,45.3,No
9367-WXLCH,Male,0.070998756,No,8,4,Facebook,Bank transfer (automatic),84.5,662.65,Yes
5524-KHNJP,Male,0.79978047,Yes,33,2,GoogleAds,Credit card (automatic),74.75,2453.3,No
1918-ZBFQJ,Female,0.144216179,No,13,2,Facebook,Electronic check,79.25,1111.65,Yes
1024-GUALD,Female,0.268742634,No,1,1,Facebook,Electronic check,24.8,24.8,Yes
4827-USJHP,Male,0.608321953,No,20,2,Facebook,Mailed check,51.8,1023.85,No
8167-GJLRN,Male,0.059457697,No,3,1,Facebook,Electronic check,30.4,82.15,No
0956-SYCWG,Female,0.309694073,No,13,2,GoogleAds,Electronic check,19.65,244.8,No
8017-UVSZU,Female,0.094168156,No,40,4,Facebook,Credit card (automatic),56.6,2379.1,No
7100-FQPRV,Male,0.662170728,Yes,43,4,GoogleAds,Credit card (automatic),71.9,3173.35,No
2472-OVKUP,Male,0.43220201,No,6,2,Facebook,Electronic check,91,531,Yes
2984-RGEYA,Female,0.796163515,Yes,69,2,Instagram,Bank transfer (automatic),19.75,1375.4,No
9680-NIAUV,Female,0.253467473,Yes,72,4,Instagram,Credit card (automatic),109.7,8129.3,No
2146-EGVDT,Male,0.965801195,Yes,59,2,Instagram,Credit card (automatic),19.3,1192.7,No
2604-IJPDU,Female,0.961226243,No,20,2,Facebook,Electronic check,96.55,1901.65,No
9178-JHUVJ,Male,0.018104678,Yes,24,4,Instagram,Bank transfer (automatic),24.1,587.4,No
6168-YBYNP,Male,0.330976931,No,59,4,Facebook,Electronic check,111.35,6519.75,No
7255-SSFBC,Male,0.041973376,Yes,72,4,Instagram,Bank transfer (automatic),112.25,8041.65,No
3645-DEYGF,Male,0.687426981,Yes,1,2,Facebook,Mailed check,20.75,20.75,No
9323-HGFWY,Female,0.298459718,No,27,2,GoogleAds,Credit card (automatic),101.9,2681.15,No
8544-GOQSH,Female,0.127301263,No,14,2,Facebook,Credit card (automatic),80.05,1112.3,No
3363-DTIVD,Male,0.535729226,Yes,71,4,Instagram,Electronic check,105.55,7405.5,No
7018-WBJNK,Male,0.698925424,Yes,13,2,Facebook,Credit card (automatic),78.3,1033.95,No
9142-KZXOP,Male,0.812599648,No,44,2,Facebook,Credit card (automatic),68.85,2958.95,No
7674-YTAFD,Female,0.489615172,No,33,2,GoogleAds,Bank transfer (automatic),79.95,2684.85,No
6348-SNFUS,Male,0.679061591,Yes,72,1,Instagram,Credit card (automatic),55.45,4179.2,No
1285-OKIPP,Male,0.537171236,No,1,2,Facebook,Electronic check,79.9,79.9,Yes
7825-ECJRF,Female,0.217067533,No,19,2,Facebook,Electronic check,106.6,1934.45,Yes
1347-KTTTA,Male,0.302611155,No,64,2,GoogleAds,Credit card (automatic),102.45,6654.1,No
7841-TZDMQ,Male,0.647010444,No,2,2,Facebook,Credit card (automatic),46,84.5,Yes
4195-NZGTA,Female,0.732326146,No,1,1,Facebook,Electronic check,25.25,25.25,No
7157-SMCFK,Male,0.70759762,Yes,61,2,Instagram,Mailed check,19.75,1124.2,No
4709-LKHYG,Female,0.726670232,Yes,29,2,GoogleAds,Electronic check,20,540.05,No
2504-DSHIH,Male,0.616517893,No,23,4,Facebook,Electronic check,86.8,1975.85,No
0699-NDKJM,Female,0.381707782,No,57,1,Facebook,Bank transfer (automatic),58.75,3437.45,No
9286-BHDQG,Male,0.462234115,Yes,72,1,Instagram,Credit card (automatic),45.25,3139.8,No
0230-WEQUW,Male,0.2753302,No,66,1,Instagram,Bank transfer (automatic),56.6,3789.2,No
2040-LDIWQ,Male,0.347370213,Yes,65,4,Instagram,Bank transfer (automatic),84.2,5324.5,No
6496-JDSSB,Female,0.53007112,No,8,2,Facebook,Bank transfer (automatic),80,624.6,No
9408-SSNVZ,Female,0.534118382,No,4,2,Facebook,Electronic check,70.15,268.35,Yes
4443-EMBNA,Female,0.156803634,No,71,4,Instagram,Bank transfer (automatic),24.75,1836.9,No
6469-MRVET,Male,0.112770767,Yes,1,2,GoogleAds,Electronic check,20.2,20.2,No
0742-MOABM,Male,0.842543677,No,4,2,Facebook,Mailed check,50.05,179.35,Yes
5961-VUSRV,Female,0.413867957,No,12,2,GoogleAds,Bank transfer (automatic),19.35,219.35,No
6778-JFCMK,Male,0.552122296,No,24,1,GoogleAds,Mailed check,50.6,1288.75,No
6341-JVQGF,Female,0.172983606,Yes,31,2,GoogleAds,Mailed check,81.15,2545.75,No
2232-DMLXU,Female,0.273604445,No,1,2,Facebook,Mailed check,55.2,55.2,Yes
4811-JBUVU,Male,0.605188453,No,30,4,Facebook,Credit card (automatic),89.9,2723.15,No
0945-TSONX,Female,0.919029505,Yes,47,4,Instagram,Credit card (automatic),85.3,4107.25,No
2651-ZCBXV,Male,0.652866808,No,54,4,Instagram,Credit card (automatic),108,5760.65,No
3316-UWXUY,Male,0.255194421,No,50,2,Facebook,Credit card (automatic),93.5,4747.5,No
8937-RDTHP,Male,0.853223364,No,1,2,Facebook,Mailed check,84.6,84.6,Yes
7083-MIOPC,Female,0.781632172,No,72,2,Instagram,Credit card (automatic),20.25,1566.9,No
1984-GPTEH,Female,0.079277498,No,29,4,Facebook,Electronic check,25.15,702,No
1251-KRREG,Male,0.678203264,No,2,4,Facebook,Mailed check,54.4,114.1,Yes
0621-JFHOL,Female,0.719958114,No,10,1,Instagram,Mailed check,29.6,299.05,No
9903-LYSAB,Male,0.933835391,No,18,4,Facebook,Electronic check,73.15,1305.95,No
0094-OIFMO,Female,0.972232597,No,11,2,Facebook,Electronic check,95,1120.3,Yes
9227-UAQFT,Male,0.170503427,No,16,2,Instagram,Mailed check,19.75,284.35,No
7301-ABVAD,Female,0.968264245,No,72,4,Instagram,Bank transfer (automatic),86.6,6350.5,No
6614-FHDBO,Male,0.480356949,No,72,4,Instagram,Bank transfer (automatic),109.2,7878.3,No
7576-ASEJU,Female,0.782814603,Yes,41,2,GoogleAds,Credit card (automatic),74.7,3187.65,No
9058-HRZSV,Female,0.987059555,No,65,2,Facebook,Electronic check,94.4,6126.15,No
4522-AKYLR,Female,0.738225575,No,13,2,Facebook,Electronic check,54.8,731.3,No
0221-WMXNQ,Male,0.929827615,No,4,2,Facebook,Electronic check,75.35,273.4,No
0303-UNCIP,Male,0.83519346,No,41,4,GoogleAds,Mailed check,65,2531.8,No
9947-OTFQU,Male,0.553512418,No,15,2,Facebook,Electronic check,74.4,1074.3,Yes
0322-YINQP,Male,0.77947421,No,1,2,Facebook,Mailed check,48.55,48.55,Yes
0959-WHOKV,Male,0.719207088,No,42,4,GoogleAds,Electronic check,99,4298.45,No
4075-JFPGR,Female,0.864019397,No,51,2,GoogleAds,Electronic check,93.5,4619.55,No
4629-NRXKX,Female,0.066823716,Yes,2,2,Facebook,Electronic check,70.4,147.15,Yes
9514-JDSKI,Male,0.36205031,No,1,1,Facebook,Electronic check,40.2,40.2,Yes
3282-ZISZV,Male,0.86046013,Yes,32,4,GoogleAds,Credit card (automatic),83.7,2633.3,No
3675-YDUPJ,Male,0.958666749,No,10,2,Facebook,Mailed check,19.85,193.05,No
4111-BNXIF,Female,0.74410906,Yes,67,1,Instagram,Electronic check,59.55,4103.9,No
7017-VFHAY,Female,0.21345371,Yes,61,4,Instagram,Credit card (automatic),115.1,7008.15,No
6655-LHBYW,Male,0.692979707,No,50,4,GoogleAds,Credit card (automatic),114.35,5791.1,No
4959-JOSRX,Female,0.196120258,No,2,2,Facebook,Credit card (automatic),44.6,80.55,Yes
5046-NUHWD,Female,0.217592965,No,29,1,Facebook,Electronic check,45,1228.65,No
7273-TEFQD,Male,0.623851618,No,3,1,Facebook,Electronic check,41.15,132.2,Yes
3606-TWKGI,Male,0.702232921,No,13,4,Facebook,Electronic check,106.9,1364.3,Yes
7529-ZDFXI,Male,0.661034945,No,57,4,Facebook,Electronic check,89.85,4925.35,No
7605-BDWDC,Female,0.863940927,No,31,1,Instagram,Bank transfer (automatic),49.85,1520.1,No
1950-KSVVJ,Female,0.75108633,No,45,4,GoogleAds,Mailed check,113.3,5032.25,No
0123-CRBRT,Female,0.849642303,Yes,61,4,Instagram,Mailed check,88.1,5526.75,No
6292-TOSSS,Male,0.623658941,No,50,4,Instagram,Bank transfer (automatic),24.9,1195.25,No
3197-ARFOY,Female,0.132513581,No,19,2,Facebook,Mailed check,105,2007.25,No
6323-AYBRX,Male,0.564640783,No,59,2,Instagram,Mailed check,19.35,1099.6,Yes
7014-ZZXAW,Female,0.889680528,No,71,4,Instagram,Credit card (automatic),24.25,1732.95,No
4385-GZQXV,Female,0.817281719,No,16,2,Facebook,Electronic check,94.45,1511.2,Yes
7633-MVPUY,Male,0.874267468,No,57,2,Instagram,Electronic check,59.75,3450.15,No
6366-ZGQGL,Male,0.875240244,No,1,1,Facebook,Bank transfer (automatic),24.8,24.8,Yes
4716-HHKQH,Male,0.031587277,No,20,4,Facebook,Electronic check,107.05,2172.05,No
5940-AHUHD,Male,0.269358256,No,1,2,Facebook,Mailed check,70.6,70.6,Yes
6432-TWQLB,Male,0.569490238,No,5,4,Facebook,Electronic check,85.4,401.1,Yes
4484-GLZOU,Female,0.802872314,No,52,4,Facebook,Electronic check,105.05,5624.85,Yes
3179-GBRWV,Male,0.594245385,No,21,2,Facebook,Bank transfer (automatic),64.95,1339.8,No
8645-KWHJO,Male,0.791024267,No,14,1,Facebook,Electronic check,55,771.95,No
4130-MZLCC,Female,0.582452193,No,5,2,Facebook,Bank transfer (automatic),50.55,244.75,No
0314-TKOSI,Female,0.809809831,No,6,2,Facebook,Mailed check,55.15,322.9,No
8229-MYEJZ,Female,0.002090847,No,10,2,Facebook,Electronic check,51.2,498.25,No
2080-SRCDE,Female,0.629923702,Yes,1,4,Facebook,Mailed check,25.4,25.4,No
9577-WJVCQ,Female,0.972983345,No,68,4,Facebook,Mailed check,54.45,3687.75,No
